englishTerm,koreanTerm,explanation
Duoderm,듀오덤,수성콜로이드 드레싱
Elastic brassiere,탄력 브래지어,지지기구
Epidural catheter,경막외 도관,
Epidural catheter,경막외 카테터,
Abduction pillow,외전용 베개,고관절 탈구를 예방하기 위하여 다리를 벌려놓는 장치.
External ventricular drain,체외뇌실배액관,
EVD,뇌실외배액관,
Fetal acoustic stimulation test,태아청각자극검사,
FAST,태아음향자극검사,
Gastrostomy tube,위루관,위로 영양분을 주거나, 액체나 독물을 삼켰을 때 제거해 주거나 또는 위의 압력을 제거해 주기 위해 사용되는 튜브.[Mosby 의학간호학대사전]
Gastrostomy tube,위루 튜브,위로 영양분을 주거나, 액체나 독물을 삼켰을 때 제거해 주거나 또는 위의 압력을 제거해 주기 위해 사용되는 튜브.[Mosby 의학간호학대사전]
GCS,글래스고혼수척도,1) 자발적인 눈뜨기 반응, 언어반응, 운동반응의 세부분으로 측정되는 임상에서 가장 흔히 사용되는 객관적인 측정도구이다. 2) GCS는 두부외상환자의 신경학적 평가를 정확하고도 간편하게 행하기 위해 Jannett 등이 발표한 기준이다. 개안, 통증자극으로 인한 사지의 반응 및 언어기능의 3대항목이 각각 4(4 : 자발적 개안, 3 : 부르는 소리에 개안, 2 : 통증자극시 개안 1 : 개안하지 않음, 6(6 : 자발적, 5 : 동통부위 인식가능, 5 : 도피굴곡가능, 3 : 이상굴곡반응, 2 : 사지진전반응, 1 : 전혀 움직이지 않음) 및 5(5 : 대화가 가능 4 : 회화혼란, 3 : 언어혼란, 2 : 이해할 수 없는 신음소리, 1 : 없음) 단계로 수치화되고 합계점수(만점 : 15)로 환자의 상태를 평가할 수가 있다. GCS는 환자의 예후판정에 유용하고 7이하는 예후불량이라는 보고가 많다.[간호학대사전]
Halo vest,할로베스트,목과 머리를 고정하는 데 이용하는 정형외과 장치. 어깨의 끈과 두개골 주위에 밴드를 사용, 핀으로 두개골에 고정해 체간과 연결되도록 한다. 경추의 손상과 탈구 치료 및 경부수술 후 고정 자세의 유지에 이용한다.[Mosby 의학간호학대사전]
Head flat position,평위,자세
Supine without pillow,베개없는 앙와위,자세
Hemovac,헤모박,
Heparin lock,헤파린 잠금장치,
Heparin lock,헤파린 도관,
Hickman catheter,히크만도관,약물 주입 및 채혈을 위해 정맥에 삽입하는 관. 정맥을 통하여 중심정맥에 삽입하는 중심정맥카테터(central venous catheter)의 일종이다. 혈관을 별도로 확보할 필요가 없으므로 항암치료 등 반복해서 정맥주사가 필요한 환자에게 유용하다. 항암제는 물론 항생제와 혈액성분 주사, 종합비경구 영양법, 혈액채취 등에도 쓸 수 있어 의료시술 행위 전반에 큰 역할을 하는 의료기기이다. 쇄골하정맥을 통하여 삽입하는데, 대개 국소마취 상태에서 외과의사에 의해 시술된다. 인체와 외부를 연결시키므로 삽입 부위를 항상 소독해야 하고, 헤파린용액을 주입하여 통로가 막히지 않도록 해야 한다. 삽입 부위가 빨개지거나 부으면서 아프고 냄새가 나며 분비물이 있을 때, 38도 이상의 열이 날 때, 카테터가 새거나 액체가 흘러나올 때 또는 막혔을 때, 데이크론 커프스(dacron cuffs)가 피부 밖으로 나왔을 때는 감염의 위험이 있으므로 교체해야 한다.[두산백과]
Ice chip,얼음조각,
Incentive spirometer,보상성 폐활량계,흡식량에 대한 시각적인 되먹임을 제공함으로써 자발적인 심호흡을 격려하도록 하는 방법. 특별하게 만든 폐활량계를 사용하여, 환자는 설정한 양에 도달할 때까지 흡입하며, 그런 다음 3~5초 동안 숨을 참아 흡기량을 유지한다. 유발성 폐활량 측정은 무기폐와 폐경화의 위험을 감소시킨다.[Mosby 의학간호학대사전]
Incentive spirometry,유발성 폐활량측정,흡식량에 대한 시각적인 되먹임을 제공함으로써 자발적인 심호흡을 격려하도록 하는 방법. 특별하게 만든 폐활량계를 사용하여, 환자는 설정한 양에 도달할 때까지 흡입하며, 그런 다음 3~5초 동안 숨을 참아 흡기량을 유지한다. 유발성 폐활량 측정은 무기폐와 폐경화의 위험을 감소시킨다.[Mosby 의학간호학대사전]
Indwelling catheter,유치도관,1) 요도의 적당한 위치에 머물게 하는 카테터. 3) 요로에 삽입된 카테터를 그대로의 위치로 고정하고 탈락하지 않도록 한 상태를 말한다. 비뇨기과에서는 방광유치카테터가 가장 빈도가 높게 이용되고 있다. 이것은 전립선, 방광경부질환, 요도협착, 외상 등에서 이용되며 방광에서 요류를 확보하기 위해서 이용된다. 넬라톤카테터, 발룬카테터가 이용되는데 세정용으로는 쓰리웨이카테터가 이용된다. 방광 이외에도 요관, 신우에 유치하는 경우도 있다.[간호학대사전]
Indwelling catheter,유치도뇨관,1) 요도의 적당한 위치에 머물게 하는 카테터. 2) 요로에 삽입된 카테터를 그대로의 위치로 고정하고 탈락하지 않도록 한 상태를 말한다. 비뇨기과에서는 방광유치카테터가 가장 빈도가 높게 이용되고 있다. 이것은 전립선, 방광경부질환, 요도협착, 외상 등에서 이용되며 방광에서 요류를 확보하기 위해서 이용된다. 넬라톤카테터, 발룬카테터가 이용되는데 세정용으로는 쓰리웨이카테터가 이용된다. 방광 이외에도 요관, 신우에 유치하는 경우도 있다.[간호학대사전]
Inspirometer,흡기측정계,흡식된 공기의 양을 계측하는 기계.
Interpersonal relationship training,인간관계훈련,훈련시킴
Intracranial catheter,두개내 도관,도관
Intracranial catheter,두개내 카테터,도관
Intravenous catheter insertion,정맥도관 삽입술,시술
Iron supplement,철분제제,약물
Irrigation solution,세척액,
Jackson pratt drain,JP 배액관,
Jp drain,JP 배액관,
Kidney pan,곡반,
Knee chest position,슬흉위,항문검진, 내성기검진, 자궁전위 교정, 태아위치교정 등을 위해 환자에게 취하게 하는 체위이다. 복와(腹臥)의 자세로 무릎을 직각으로 구부려 대퇴를 배에 수직으로 하게해 둔부를 높이 들어 올린 체위이다. 이때 중심은 가슴과 무릎에 두도록 한다. 또 두팔은 자유롭게 움직일 수 있도록 구부려 손을 깎지 끼고 얼굴을 옆으로 향하게 하거나 또는 이마를 두손등에 올려놓는다.[간호학대사전]
Lamaze breathing,라마즈호흡법,
Lateral position,측위,인간이 취하는 기본적인 체위의 하나로 횡와위(橫臥位)라고도 한다. 환자의 체측(體側)을 아래로 하여 옆으로 향하게 하여 상측(上側)의 하지(下肢)를 앞으로 가법게 구부려 하측의 하지(下肢)를 가볍게 끌어 당긴다. 상지(上肢)는 얼굴의 근처로 가볍게 구부린 체위이다. 좌우 어느쪽의 체측을 아래로 하는가에 의하여 좌측와위와 우측와위의 둘로 나누어진다. 배부(背部)의 진찰이나 간호, 관장이나 장세착등의 경우에는 이 체위를 취한다.[간호학대사전]
Lateral position,측와위,인간이 취하는 기본적인 체위의 하나로 횡와위(橫臥位)라고도 한다. 환자의 체측(體側)을 아래로 하여 옆으로 향하게 하여 상측(上側)의 하지(下肢)를 앞으로 가법게 구부려 하측의 하지(下肢)를 가볍게 끌어 당긴다. 상지(上肢)는 얼굴의 근처로 가볍게 구부린 체위이다. 좌우 어느쪽의 체측을 아래로 하는가에 의하여 좌측와위와 우측와위의 둘로 나누어진다. 배부(背部)의 진찰이나 간호, 관장이나 장세착등의 경우에는 이 체위를 취한다.[간호학대사전]
Lateral position,횡와위,인간이 취하는 기본적인 체위의 하나로 횡와위(橫臥位)라고도 한다. 환자의 체측(體側)을 아래로 하여 옆으로 향하게 하여 상측(上側)의 하지(下肢)를 앞으로 가법게 구부려 하측의 하지(下肢)를 가볍게 끌어 당긴다. 상지(上肢)는 얼굴의 근처로 가볍게 구부린 체위이다. 좌우 어느쪽의 체측을 아래로 하는가에 의하여 좌측와위와 우측와위의 둘로 나누어진다. 배부(背部)의 진찰이나 간호, 관장이나 장세착등의 경우에는 이 체위를 취한다.[간호학대사전]
Levin tube,레빈관,위내압 감소 또는 영양공급을 위한 위장관 삽입에 사용되거나 코를 통하는 플라스틱 카테터.[Mosby 의학간호학대사전]
L tube,비위관,위내압 감소 또는 영양공급을 위한 위장관 삽입에 사용되거나 코를 통하는 플라스틱 카테터.[Mosby 의학간호학대사전]
Log rolling technique,통나무굴리기법,자세변경기법
L tube feeding,비위관영양,영양
Mobility training,이동훈련,훈련시킴
Musle relaxation method,근육이완요법,긴장과 이완의 차이를 알게 하면서 큰 근육조직을 긴장하고 이완시키는 체계적인 기술.
Neck brace,목 지지대,
Nelaton catheter,단순도뇨카테터,연성 인도고무제의 카테터.
Nitrazine test,니트라진검사,나이트라진 검사는 알칼리성 양수의 존재를 나이트라진 종이를 이용해 확인하는 방법으로, 노란색의 검사 종이가 질분비물에 의해 파란색으로 변하면 양수가 새는 것을 확인할 수 있다.[서울대학교병원 의학정보]
NST,비자극검사,Hammacher 등에 의해 권장된 방법이고 태아에 스트레스가 없는 상태에서 태아심박동수를 조사함으로써 태아의 상태(태아기능부전이나 태아예비능저하의 유무 등)를 판정하는 방법이다. 심장율동의 신경계제어기구의 흐트러짐을 인식함으로써 태아의 상태를 아는 검사법이기 때문에 신경계제어기구가 거의 완성하는 임신 28~30주 이후에 행하는 검사이다. 태아에게 일치해서 일과성 빈맥이 20분간에 2회이상 나타나고 그 파고가 15beats/분 이상(반응형 : reactive pattern) 있으면 태아는 건강하다. 이에 대해서 일과성빈맥이 산발적이거나 전혀 나타나지 않는(무반응형 : non-reactive pattern) 경우 태아는 잠재성태아가사이거나 수면상태이다.[간호학대사전]
Nonverbal communication,비언어적 의사소통,얼굴의 표정, 눈의 움직임, 몸짓, 자세, 동작을 비롯해 비언어적 음성인 한숨 흐느낌 등의 언어기호 이외의 수단에 의한 의사소통션.[간호학대사전]
Nonverbal communication,비구두 의사소통,얼굴의 표정, 눈의 움직임, 몸짓, 자세, 동작을 비롯해 비언어적 음성인 한숨 흐느낌 등의 언어기호 이외의 수단에 의한 의사소통.[간호학대사전]
Normal saline lock,생리식염수 도관,기구
Gargle,함수,인후나 구강내를 청정하게 하거나, 소독하거나, 매끄럽게 할 목적으로 물이나 약액을 입안에 품고 잘 행구어서 내뱉는 것을 말한다. 스스로 이 행위를 할 수 있는 경우에만 한다. 함소증 액체를 삼키지 않도록 주의가 필요하다.[간호학대사전]
Patch,패치,특정 성분을 담은 부착제. 해당 성분을 몸속에 서서히 침투시키기 위하여 필요한 부위에 붙여서 사용한다.[표준국어대사전]
Patient controlled analgesia,자가통증조절,통증이 있을 때마다 환자 스스로 소량의 진통제를 투여하는 방법[서울대학교병원 의학정보]
PCA,자가통증조절,통증이 있을 때마다 환자 스스로 소량의 진통제를 투여하는 방법[서울대학교병원 의학정보]
Patient controlled analgesia,통증자가조절법,통증이 있을 때마다 환자 스스로 소량의 진통제를 투여하는 방법[서울대학교병원 의학정보]
Percutaneous nephrostomy,경피적 신루술,요로 폐색 환자에서 요독증 예방을 위해 피부를 통해 신배 및 신우에 가는 카테터를 삽입하여 소변이 배출될 수 있게 하는 시술 [서울대학교병원 의학정보]
Percutaneous nephrostomy,경피적 신루설치술,요로 폐색 환자에서 요독증 예방을 위해 피부를 통해 신배 및 신우에 가는 카테터를 삽입하여 소변이 배출될 수 있게 하는 시술 [서울대학교병원 의학정보]
PCN,경피적 신루술,요로 폐색 환자에서 요독증 예방을 위해 피부를 통해 신배 및 신우에 가는 카테터를 삽입하여 소변이 배출될 수 있게 하는 시술 [서울대학교병원 의학정보]
Permission paper,동의서,1) 어떤 문제에 대하여 동의를 표시하는 문건.
2) 어떤 문제에 대하여 동의를 구하는 문건.[표준국어대사전]
Powder,파우더,고형의 약제를 갈거나 부숴 얻은 소립자의 집합체.
Prescription,처방전,1) 약제, 용법 등의 준비와 실시법 등을 지시하는 문서로서, 섭취 또는 취하라 의 뜻을 가진 Recipe 또는 그 기호인 R을 쓰고 이어서 약물명분량 항에 약제 이름과 양을 기재한다. 다음에 약제 사용법의 지시를 쓰고, 마지막으로 서명의 뜻으로 signa의 약자인 S가 있는 곳에 서명하여 끝맺는다. 처방전은 환자에게 지시를 하는 것이며, 적절한 장소에서 통용하게 된다. 
2) 의사가 치료를 위해 필요한 의약품에 대해서 기재한 문서를 말한다. 법제상으로는 약국 처방이 원칙이고「처방전」이란 약국에서 조제해주는 의약품을 기재한 문서이다. 진단의 필요상 원래처방에 따르지 않으면 안되는 경우가 있고 의사법, 치과 의사법에 열거되어 있다. 그 주요한 것은 환자가 원내처방을 원할 경우, 환자에게 의 약품의 내용을 알라는 것이 부적당한 경우. 의약품의 효과를 단시간마다 볼 필요가 있는 경우 등이다.[간호학대사전]
Semi fowler position,세미파울러체위,
Semisitting position,반좌위,
Shock position,쇼크자세,환자가 쇼크를 일으켰을 때 그 구급체위로서 취해지는 체위이고 두부를 낮게 하고 발을 높게 한다. 쇼크는 출혈, 불감증(不感蒸)ㆍ통증, 정신적 쇼크 등이 따라서 생기고 맥박이 빠르고 미약, 호흡은 얕고 빠르고, 혈압저하, 안면이나 피부가 창백, 식은땀, 무기력 등의 호소나 불안상태 등의 증상이 나타난다. 이와같은 상태가 생겼을 때 재빠르게 쇼크체위를 취함으로써 뇌나 심장과 같은 가장 중요한 장기로의 혈류를 조금이라도 많게 할 수가 있다. 그 때문에 이 체위는 상태의 악화를 예방하거나 완화하는데 도움이 된다.[간호학대사전]
Shock position,쇼크체위,환자가 쇼크를 일으켰을 때 그 구급체위로서 취해지는 체위이고 두부를 낮게 하고 발을 높게 한다. 쇼크는 출혈, 불감증(不感蒸)ㆍ통증, 정신적 쇼크 등이 따라서 생기고 맥박이 빠르고 미약, 호흡은 얕고 빠르고, 혈압저하, 안면이나 피부가 창백, 식은땀, 무기력 등의 호소나 불안상태 등의 증상이 나타난다. 이와같은 상태가 생겼을 때 재빠르게 쇼크체위를 취함으로써 뇌나 심장과 같은 가장 중요한 장기로의 혈류를 조금이라도 많게 할 수가 있다. 그 때문에 이 체위는 상태의 악화를 예방하거나 완화하는데 도움이 된다.[간호학대사전]
Reinforcement therapy,강화요법,요법
Respiratory index,호흡기계 지표,평가 도구
Sandbag,모래주머니,모래를 넣은 주머니.[표준국어대사전]
Protector,보호기,
Shield,차폐물,
Protector,보호대,
Sitz bath,좌욕,항문 및 그 주위에 이상이 있을 경우, 상처의 청결, 통증, 충혈, 항문괄약근의 긴장 완화의 목적으로 대야에 넣은 온탕에 둔부를 담그는 것을 말한다. 온탕(필요시 0.1~1% 크레졸액)은 38~40°C로 준비하고 15~20분간, 또는 지시된 시간동안 한다. 허리주위와 족부를 면모포로 덮는다. 적당히 온탕을 추가한다. 통증이 심한때는 대야속에 고무방석(둥근 것)을 사용하기도 한다.[간호학대사전]
Sleeping pill,수면제,수면 이상: 수면이 최고점에 달했을 때 수면이 지속되는 상태에서 몇분에서 30분정도 잠자리를 떠나 돌아다니는 움직임, 깨어났을 때 기억을 하지 못하며, 피로와 스트레스, 불안을 느낌.
Speech cannula,발성삽입관,삽입관
Speech cannula,발성캐뉼러,삽입관
Tegaderm,테가덤,
Tepid bath,미온수목욕,
Thoracolumbosacral orthosis,흉추요추천골 지지대,
Thoracolumbosacral orthosis,흉요천추 보조기,
TLSO,흉추요추천골 지지대,
TLSO,흉요천추 보조기,
Tracheostomy cannula,기관절개 삽입관,삽입관
Tracheostomy cannula,기관절개 캐뉼러,삽입관
Tracheostomy cannula,기관절개 튜브,삽입관
Tracheostomy cannula,T 캐뉼러,삽입관
USG,초음파촬영,우리가 들을 수 있는 소리보다 주파수가 큰 음파를 인체 내부로 전파시켰을 때 체내 연조직에서 반사된 음파로 얻어진 반사 영상을 이용한 검사[서울대학교병원 의학정보]
USG,초음파검사,우리가 들을 수 있는 소리보다 주파수가 큰 음파를 인체 내부로 전파시켰을 때 체내 연조직에서 반사된 음파로 얻어진 반사 영상을 이용한 검사[서울대학교병원 의학정보]
Urination encouragement,배뇨촉진법,기법
Urine albumin test,요중알부민 검사,진단검사
Warmer,가온기,
Angiotensin converting enzyme inhibitors,안지오텐신전환효소억제제,심장이나 혈관에 직접 작용하지는 않고, 레닌 - 안지오텐신 - 알도스테론 (renin - angiotensin - aldosterone) 이라는 인체에서 혈압을 올리고 염분과 수분을 축적시키는 시스템을 억제하여 혈압을 낮추는 약제. 고혈압에서 심장과 신장에 대하여 보호작용이 있으며 또한 심부전 치료에 사용함.
Ace inhibitor,ACE억제제,
Ace inhibitor,안지오텐신전환효소억제제,
Bohler braun splint,비비부목,덧대
Bb splint,비비부목,덧대
Blowing,불기,입을 오므리고 날숨을 내어보내어, 입김을 내거나 바람을 일으키는 것.[표준국어대사전]
Double j catheter,더블제이도관,도관
Double j catheter,더블제이카테터,도관
External pacemaker,체외심박조율기,1) 심장벽을 통한 흥분 발사에 의해 전기적으로 심박동을 자극하는 데 쓰이는 장치. 심각한 심부정맥의 응급처치에 이용된다.
2) 흥분 발사 장치는 가슴 밖에 있고, 전선에 의해 심장과 연결되어 있는 심박동조정기.[Mosby 의학간호학대사전]
Finger enema,손가락관장,직장 내 변괴가 너무 크거나 굳어서 직장 튜브의 삽입을 방해할 때 소독장갑을 낀 채 윤활제를 바른 뒤 검지손가락을 직접 항문으로 넣어서 변괴를 작게 부수어 꺼낸다.[서울대학교병원 의학정보]
Finger enema,수지관장,직장 내 변괴가 너무 크거나 굳어서 직장 튜브의 삽입을 방해할 때 소독장갑을 낀 채 윤활제를 바른 뒤 검지손가락을 직접 항문으로 넣어서 변괴를 작게 부수어 꺼낸다.[서울대학교병원 의학정보]
Finger enema,용수관장,직장 내 변괴가 너무 크거나 굳어서 직장 튜브의 삽입을 방해할 때 소독장갑을 낀 채 윤활제를 바른 뒤 검지손가락을 직접 항문으로 넣어서 변괴를 작게 부수어 꺼낸다.[서울대학교병원 의학정보]
Manual disimpaction,수기대변메막힘제거,직장 내 변괴가 너무 크거나 굳어서 직장 튜브의 삽입을 방해할 때 소독장갑을 낀 채 윤활제를 바른 뒤 검지손가락을 직접 항문으로 넣어서 변괴를 작게 부수어 꺼낸다.[서울대학교병원 의학정보]
Manual disimpaction,수기대변매복제거,직장 내 변괴가 너무 크거나 굳어서 직장 튜브의 삽입을 방해할 때 소독장갑을 낀 채 윤활제를 바른 뒤 검지손가락을 직접 항문으로 넣어서 변괴를 작게 부수어 꺼낸다.[서울대학교병원 의학정보]
Carminative enema,구풍관장,장이 가스로 팽만했을 때에 가스의 제거를 촉진하기 위해 행하는 관장이다. 51% 글리세린액이나 온탕을 사용해서 굳어진 변을 연화시키거나 온도나 화학적 물질에 의한 자극으로 결장의 수축을 일으키게 하거나 해서 가스를 촉진한다. 일반적으로 소화기계의 수술뒤나 복막염의 환자에게 실시된다. 관장후에는 가스의 유무, 복부팽만완화의 정도 등을 관찰하고 그 효과를 확인한다. 시행상의 주의는 최하관장(催下灌腸)에 준한다.[간호학대사전]
Gavage,위관영양,영양소나 기타 물질을 튜브를 이용하여 주입하는 것. 강제 급식의 한 방법.[농업용어사전]
Head down,머리낮춤,자세
Head down position,머리낮춤 자세,자세
Head up 15degree,15도 머리높임,자세
Head up 30degree,30도 머리높임,자세
Head up,머리높임,자세
Head up position,머리높임 자세,자세
IABP,대동맥내풍선펌프,공기가 출입할 수 있는 특수한 풍선을 대동맥 내로 삽입한 후 심장박동에 따라 확장과 수축을 계속하여 심장에서 보내는 혈류량을 도와주는 장치이다. 풍선은 정밀검사 때와 마찬가지로 대퇴동맥을 통해 삽입하게 되는데 심장의 수축기에는 풍선이 수축되어 심장에서 몸으로 혈류가 가는 것을 돕게 되고 심장의 확장기에는 풍선이 확장되어 대동맥 내에 남아 있는 혈액을 모두 몸으로 보내게 된다. 이럴 경우 심장에는 두 가지 점에서 도움을 주는데 하나는 풍선이 늘어났다가 수축됨으로써 혈류 저항이 크게 줄어들기 때문에 심장의 수축기에 힘이 덜 든다는 점이고, 또 하나는 심장확장기에 풍선이 확장되므로 대동맥에 남아 있는 혈류를 추가로 보내는 효과를 가져온다는 것이다. 결과적으로 10~40%의 심박출량 증가를 가져온다고 되어 있다. 따라서 확장기에 대동맥의 판막부전이 심한 환자는 이 풍선펌프술을 시행해서는 안 된다.[두산백과]
Leg elevation position,다리올림 자세,자세
Leg elevation position,하지거상 자세,자세
Penrose,펜로즈,배액관
Sims position,심스자세,복와위(腹臥位)와 측와위의 중간 체위이고 측두와 흉부로 상체를 지지하고 아래쪽의 상지는 등으로 돌려 상체의 압박을 피한다. 고관절, 슬관절을 가볍게 굴곡시키고 위쪽의 하지는 굴곡을 세게해 상측의 대퇴를 복벽에 접근시킨 체위이다. 토물의 흡인 예방, 탈출제대(脫出臍帶)의 환납술(還納術), 직장진 등에 응용된다.[간호학대사전]
Sims position,심스체위,복와위(腹臥位)와 측와위의 중간 체위이고 측두와 흉부로 상체를 지지하고 아래쪽의 상지는 등으로 돌려 상체의 압박을 피한다. 고관절, 슬관절을 가볍게 굴곡시키고 위쪽의 하지는 굴곡을 세게해 상측의 대퇴를 복벽에 접근시킨 체위이다. 토물의 흡인 예방, 탈출제대(脫出臍帶)의 환납술(還納術), 직장진 등에 응용된다.[간호학대사전]
Semi prone position,반엎드린 자세,자세
Semi prone position,반복위,자세
Sips of water,물 홀짝마시기,기법
Sips of water,점진적 음용,기법
Gargle solution,가글액,용액
Gas analysis,가스분석,PaO2(혈액 중 산소의 분압 정도)를 측정하여 폐의 환기, 확산, 산화, 동맥혈의 pH에 의한 산-염기평형 상태를 알아보는 검사 방법.
Clamp,꺽쇠,물건을 압박하거나 죌 수 있는 도구의 하나.
Clamp,조임쇠,물건을 압박하거나 죌 수 있는 도구의 하나.
Clamp,겸자,물건을 압박하거나 죌 수 있는 도구의 하나.
Hypoglycemic agent,혈당강하제,당뇨병으로 인한 혈당을 내리기 위해 먹는 약.[두산백과] 
Percutaneous transhepatic biliary drainage,경피경간담도배액술,방사선의 투시 영상을 이용하여 배액관을 체외에서 삽입하여 간 내의 담도에 위치시킴으로써 정상적으로 배출되지 못하는 담즙을 체외로 배출시키는 시술을 말한다. 담도가 좁아져 정상적인 배출이 어려울 때 시술한다. 담도가 좁아지면 담즙 정체성 황달의 증상, 즉 가려움증, 고빌리루 빈혈증, 짙은 소변색, 우상복부 통증과 같은 증상이 나타난다. [서울대학교병원 의학정보]
PTBD,경피경간담배액술,방사선의 투시 영상을 이용하여 배액관을 체외에서 삽입하여 간 내의 담도에 위치시킴으로써 정상적으로 배출되지 못하는 담즙을 체외로 배출시키는 시술을 말한다. 담도가 좁아져 정상적인 배출이 어려울 때 시술한다. 담도가 좁아지면 담즙 정체성 황달의 증상, 즉 가려움증, 고빌리루 빈혈증, 짙은 소변색, 우상복부 통증과 같은 증상이 나타난다. [서울대학교병원 의학정보]
Percutaneous catheter drainage,경피적도관배액술,시술
PCD,경피적도관배액술,시술
Go up and down stair,계단오르내리기,기법
Consolidation chemotherapy,공고요법,
Kegel exercise,괄약근 운동,소변 참을 때처럼 질 근육을 조였다 풀었다 하는 것을 반복하는 운동.
Pelvic floor exercise,골반저 운동,소변 참을 때처럼 질 근육을 조였다 풀었다 하는 것을 반복하는 운동.
Debridement,데브리드망,이물, 괴사조직, 오염조직을 상처 또는 감염병터나 그 인접부분에서 제거하고 주위의 건강한 조직을 노출시키는 것.[알기쉬운 의학용어풀이집]
Debridement,괴사조직제거술,이물, 괴사조직, 오염조직을 상처 또는 감염병터나 그 인접부분에서 제거하고 주위의 건강한 조직을 노출시키는 것.[알기쉬운 의학용어풀이집]
Debridement,변연절제술,이물, 괴사조직, 오염조직을 상처 또는 감염병터나 그 인접부분에서 제거하고 주위의 건강한 조직을 노출시키는 것.[알기쉬운 의학용어풀이집]
Proximal interphalangeal joint,근위지간관절,손가락 중간 마디.
Proximal interphalangeal joint,근위지절관절,손가락 중간 마디.
Memory quotient,기억지수,평가 도구
Memory quotient,기억계수,평가 도구
MQ,기억지수,평가 도구
Therapy by floral arrangement,꽃꽂이 요법,원예요법
Horticultural therapy,원예요법,식물이나 식물을 통한 원예활동에 의해서 사회적, 교육적, 심리적 혹은 신체적 적응력을 기르고 이로 말미암아 육체적 재활과 정신적 회복을 추구하는 전반적인 활동을 의미한다.[농업용어사전]
Platelet concentrate,농축혈소판,농축혈소판이라고도 한다. 혈액성분 제제의 일종. 200㎖의 전혈을 가볍게 원심분리해서 다혈소판혈장을 분리하고, 이것을 더욱 원심해서 혈소판을 용기밑에 가라앉히고 상청(上清)의 혈장 약 10~16㎖을 남기고 제거해 혈소판을 농축한 것이다. 혈소판 감소증 때문에 출혈경향이 생긴경우의 치료에 사용 된다.[간호학대사전]
PC,혈소판농축액,농축혈소판이라고도 한다. 혈액성분 제제의 일종. 200㎖의 전혈을 가볍게 원심분리해서 다혈소판혈장을 분리하고, 이것을 더욱 원심해서 혈소판을 용기밑에 가라앉히고 상청(上清)의 혈장 약 10~17㎖을 남기고 제거해 혈소판을 농축한 것이다. 혈소판 감소증 때문에 출혈경향이 생긴경우의 치료에 사용 된다.[간호학대사전]
Nicotine gum,니코틴껌,콧구멍을 통하여 위에 삽입하는 유연한 고무 혹은 플라스틱 관으로서 액체음식물 혹은 기타 물질을 주입하는데 또는 위 내용물을 채취하는데 사용된다.
Fresh frozen plasma,신선동결혈장,플라스틱의 2중백 등에 채혈한 혈액을 6시간 이내에 고속원침하고 상청의 혈장을 분리백에 옮겨 -40℃ 냉동고에 넣어서 동결시킨 것으로 1년간 사용할 수 있다. 4℃ 보존에서는 곧 소모하는 혈장응고 제Ⅴ, 제Ⅷ인자 등이 반정도 보존되는 것에 특색이 있다. 사용시에는 38℃ 실온에서 해동수주(輸注)한다. 원래는 출혈경향이 있는 쇼크, 응고장애 등에 적응이 되는데 혈장단백질, 특히 알부민의 공급에 대해서 사용되고 그 사용량이 두드러지게 증가하는 경향으로 공급증가가 요망된다.[간호학대사전]
Back care,등간호,요법
Digitalis,디지탈리스,현삼(玄参)과의 여러해살이 초본으로 잎성분에서 얻어지는 배당체(配糖體)에는 예로부터 강심작용이 발견되어, 강심배당체라 한다. 원식물에는 2종류가 있으나, 배당체로서는 디지톡신, 기톡신을 공통으로 기타린, 디곡신을 별도로 함유한다. 디지탈리스의 약리작용은 주로 다음 3가지다.①심근의 수축성을 높인다. 이 작용은 정상시에는 나타나기 어렵고 울혈성심부전에 빠진 심장에서 현저하게 나타난다. 이때, 2차적으로 이뇨작용이 나타나고 심부전에 의한 부종이 제거된다. ② 주로 미주신경(迷走神經)반사를 중개로 하는 간접작용과 직접작용에 따라, 심박수를 감소시킨다. ③ 자극전달계에 작용해서 전도를 억제한다. 소화관에서의 흡수는 빠르나 분해가 늦고 만성심부전의 치료 때 행해지는 유지량의 추가투여로 축적효과가 나타나, 심실성세동(心室性細動)을 일으켜 죽음에 이르는 일이 있다. 이처럼 안전역이 상당히 좁으므로 주의를 요한다. 이 밖에 식욕부진, 오심(惡心), 구토와 많은 신경증상이 부작용으로서 나타난다.[간호학대사전]
Warm saline,따뜻한 식염수,더운 공기를 이용해 체온을 올리는 기계. 
Roll pillow,롤 베개,베개
Lidocain jelly,리도카인젤리,리도카인
Magnesium agent,마그네슘제,약물
Narcotics,마약제제,강한 중독증상과, 금단증상, 내성작용을 가지는 약제. morphin, heroin, codein, opiates 등이 속함.
Merocel,메로셀,물품
Cotton pad,면패드,패드
Hat,모자,머리에 쓰는 물건의 하나. 예의를 차리거나 추위, 더위, 먼지 따위를 막기 위한 것이다.[표준국어대사전]
Premature infant formula,미숙아분유,모유를 공급하기 어려운 2.5kg 이하의 저체중 출생아나 태중 38주 미만에 태어난 미숙아를 위해 만들어진 특수 분유. 열량이 높으며, 단백질, 무기질, 비타민 함량은 높고, 유당 함량은 적음.
Foot massage,발마사지,발을 마사지하여 혈액순환을 촉진하는 방법.
